floor,apt,price,rank,towerURL,meURL
291,19,1.39,5323,https://towerdao.com/291/19,https://magiceden.io/item-details/Drp8fazu3T7Dauba765sci6TQVrpvMX9Thv2n5kNMqiA
325,13,1.4,1791,https://towerdao.com/325/13,https://magiceden.io/item-details/CW215F6Mh6VB3VR9hrxp4czJNe9ATkBTN2wezaYLtaJ2
365,5,1.4,5043,https://towerdao.com/365/5,https://magiceden.io/item-details/34DEQgsoLjTjAeHK3tJ9vQVA1Xq7Qf2HA457cuz8hqMp
120,20,1.45,9639,https://towerdao.com/120/20,https://magiceden.io/item-details/7PZT9o5PCok85YwrvwQUjqf2B9SpDCdAFFmtphsbr4vr
386,3,1.49,1990,https://towerdao.com/386/3,https://magiceden.io/item-details/79FgkKAMcZUTzuuTmDVNT6ba3ry6nbzoRa7rmfrcYMvF
433,20,1.49,5928,https://towerdao.com/433/20,https://magiceden.io/item-details/Cf9SpwYsNZGgWFdx7U634mYYQ8nBxHvYkp8bfwdgUCmr
265,18,1.5,2966,https://towerdao.com/265/18,https://magiceden.io/item-details/J26iJJJnizStPZnHT95eSsjLbuK2GFxNJ41hafsW8BwP
251,13,1.5,5667,https://towerdao.com/251/13,https://magiceden.io/item-details/FHKahseQtL7RkWZdibEezVP64qVAXZfs2hDZbwekrPGp
413,2,1.5,8274,https://towerdao.com/413/2,https://magiceden.io/item-details/FU2Jc3BKKbpELwBHRHijnsaoU7aFNu62VCujv6ZVcvPq
361,12,1.65,4474,https://towerdao.com/361/12,https://magiceden.io/item-details/7446Crp33jwXoK21Bx5iwVszst8u5LhU9f4J4TiAsTfP
454,12,1.69,6874,https://towerdao.com/454/12,https://magiceden.io/item-details/343ykD6Z4eR9ntKUM1nzUUAwGhZJBev3v4thKisMNUum
355,16,1.7,5148,https://towerdao.com/355/16,https://magiceden.io/item-details/5xhj7pZ96UjJfoGU5ikGpeGLLVJs7ziyX1gpscUCaL1n
396,17,1.8,5717,https://towerdao.com/396/17,https://magiceden.io/item-details/HWiSXMoGTsGNEy4UCcB4S5dpXBfYm63T5tEDGvY7hWo5
